Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-11-retro-rare-air-shoes-PXMsNCms/IH0296-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/93622545-f24e-457f-bfad-1f624cd51d9c/AIR+JORDAN+11+RETRO+RA.png",,"Air Jordan 11 Retro ""Rare Air""",Men's Shoes,"₱12,895","₱12,895",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-force-1-07-next-nature-shoes-nCJ6Wb/DV3808-113,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0212fb90-bf3b-4d0f-b702-d3a99ae4a630/WMNS+AIR+FORCE+1+%2707+NN.png",,Nike Air Force 1 '07 Next Nature,Women's Shoes,"₱3,717","₱6,19540",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/bella-7-workout-shoes-2912BV/FZ1689-603,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4a0276e0-30b3-4bb2-9fdf-48e4cc41603f/W+NIKE+AIR+ZOOM+BELLA+7.png",,Nike Bella 7,Women's Workout Shoes,"₱4,156","₱5,19520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/united-mercurial-vapor-16-elite-low-top-football-boot-OOkrwjY1/IB2473-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5e4fb8c8-d67f-47ae-a38e-05881f26e2b8/ZM+VAPOR+16+ELITE+FG+NU2.png",,Nike United Mercurial Vapor 16 Elite,Firm-Ground Low-Top Football Boot,"₱10,876","₱13,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/ld-1000-shoes-mEXVEmFD/IM1651-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4d25a436-a9c1-4657-a8d2-e7e119bcf076/LD-1000+PRM.png",,Nike LD-1000 Premium,Men's Shoes,"₱6,295","₱6,295",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/phantom-6-high-elite-ea-sports-fc-football-boots-VY1tz3XR/HQ2330-900,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/34b694f6-86f9-4325-916b-3eb72ddece69/PHANTOM+6+HIGH+ELITE+FG+SE.png",,"Nike Phantom 6 High Elite ""EA SPORTS FC""",Firm-Ground Football Boot,"₱14,076","₱17,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/c1ty-cordura-shoes-z3Zzlm/HJ4316-003,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e34f45c2-765d-4cdb-b3bf-7599b664ec0b/NIKE+C1TY+PRM.png",,Nike C1TY Premium CORDURA®,Shoes,"₱5,036","₱6,29520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/jordan-flight-court-shoes-nYhwyGYV/IH4105-113,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a2f41cc1-9e7a-4e37-9d31-ed8397003765/WMNS+JORDAN+FLIGHT+COURT.png",,Jordan Flight Court,Women's Shoes,"₱4,407","₱6,29530",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-1-mid-se-older-shoes-dnU24o4Q/HV4400-014,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/67b292d2-6e27-4927-b75b-8b343257f0ec/AIR+JORDAN+1+MID+SE+%28GS%29.png",,Air Jordan 1 Mid SE,Big Kids' Shoes,"₱4,636","₱5,79520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-max-plus-shoes-04K813/DM0032-028,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d0259587-f9a1-4e4a-88f7-29e054f42db1/NIKE+AIR+MAX+PLUS.png",,Nike Air Max Plus,Men's Shoes,"₱6,876","₱8,59520",,,,,,,
